고객명,매출년도,사용량,사용열량
(주)신영아이앤티,2021,235349.0,10026490.299999999
(주)신영아이앤티,2022,199798.0,8567452.465
(주)신영아이앤티,2023,172081.0,7355747.507999999
(주)신영아이앤티,2024,148584.0,6341074.812
(주)신영아이앤티,2025,146617.0,6254527.483
(주)신우이앤씨,2020,135070.0,5755892.8549999995
(주)신우이앤씨,2021,120252.0,5124536.992000001
(주)신우이앤씨,2022,106136.0,4552165.501
(주)신우이앤씨,2023,97420.0,4167925.071
(주)신우이앤씨,2024,100296.0,4280691.106
(주)신우이앤씨,2025,99957.0,4266993.03
(주)신우텍스타일,2020,286006.0,12183810.108
(주)신우텍스타일,2021,354937.0,15122282.343
(주)신우텍스타일,2022,310295.0,13303409.942
(주)신우텍스타일,2023,261490.0,11179895.011
(주)신우텍스타일,2024,270304.0,11537052.512
(주)신우텍스타일,2025,194851.0,8317429.343
(주)신창모터스,2020,13219.2536,563277.4686
(주)신창모터스,2021,10306.6528,439152.495
(주)신창모터스,2022,9094.0707,390371.4055
(주)신창모터스,2023,6815.49,292031.7368
(주)신창모터스,2024,7127.3997,304429.2303
